Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S56206730,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),300,0,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-05-12,09:00 AM,eBird - Traveling Count,120,1,4.828,,30
S196633452,Canada Goose,Branta canadensis,330,18,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-09-27,09:00 AM,eBird - Traveling Count,90,1,6.437,,1
S196733272,Canada Goose,Branta canadensis,330,24,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-09-28,07:00 AM,eBird - Traveling Count,90,1,6.437,,1,,,#6 to Concession and back.
S196877429,Canada Goose,Branta canadensis,330,24,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-09-29,07:00 AM,eBird - Traveling Count,60,1,4.828,,1
S197024070,Canada Goose,Branta canadensis,330,48,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-09-30,07:00 AM,eBird - Traveling Count,180,1,8.047,,1,,,South on Bruce Beach to the point and back; then a short distance on Bruce Beach Rd.
S197135524,Canada Goose,Branta canadensis,330,24,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-10-01,07:15 AM,eBird - Traveling Count,120,1,5.633,,1,,,#6 &gt; #10 and back on Bruce Beach Rd.
S197240535,Canada Goose,Branta canadensis,330,1,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-10-02,07:15 AM,eBird - Traveling Count,120,1,4.828,,1,,,"Bruce Beach Rd from #6 to Highland and up to explore to the end of Highland, then back to #6."
S197355510,Canada Goose,Branta canadensis,330,12,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-10-03,08:00 AM,eBird - Traveling Count,90,1,4.023,,1
S197476209,Canada Goose,Branta canadensis,330,24,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-10-04,07:30 AM,eBird - Traveling Count,90,1,4.828,,1,,,#8 to Highland and back on Bruce Beach Rd. along Lake Huron.
S197591723,Canada Goose,Branta canadensis,330,36,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-10-05,07:15 AM,eBird - Traveling Count,120,1,4.828,,1,,,#8 to #10 and back on Bruce Beach Rd.
S198012857,Canada Goose,Branta canadensis,330,24,CA-ON,Bruce,L36884819,Bruce Beach,44.1268013,-81.6895695,2024-10-08,08:00 AM,eBird - Traveling Count,60,1,4.023,,1,,,#8 to Highland and back on Bruce Beach Rd.
S170163848,Canada Goose,Branta canadensis,330,4,US-NJ,Cumberland,L30931041,Natuxent Wildlife Management Area,39.300427,-75.173622,2024-04-24,02:00 PM,eBird - Traveling Count,90,1,6.437,,1
S108254891,Canada Goose,Branta canadensis,330,6,US-MN,Dakota,L303740,180th St. Marsh (Marshall's Marsh),44.68822,-92.9659032,2022-04-27,09:30 AM,eBird - Stationary Count,60,1,,,2,,,"The group mistook a lone sandhill crane at the west end of the west set of ponds for the white-faced ibis, of which there were actually two and they were in the north side of the east (2nd) set of ponds."
S114361663,Canada Goose,Branta canadensis,330,6,US-MN,Dakota,L303740,180th St. Marsh (Marshall's Marsh),44.68822,-92.9659032,2022-07-03,07:00 PM,eBird - Stationary Count,60,1,,,2
S135135415,Canada Goose,Branta canadensis,330,6,US-MN,Dakota,L303740,180th St. Marsh (Marshall's Marsh),44.68822,-92.9659032,2023-04-26,11:00 AM,eBird - Traveling Count,60,1,1.609,,2
